2304,8930,1153
N0,0,0
N1,1,0
N2,2,0
N3,3,0
N4,4,0
N5,5,0
N6,6,0
N7,7,0
N8,8,0
N9,9,0
N10,10,0
N11,11,0
N12,12,0
N13,13,0
N14,14,0
N15,15,0
N16,16,0
N17,17,0
N18,18,0
N19,19,0
N20,20,0
N21,21,0
N22,22,0
N23,23,0
N24,24,0
N25,25,0
N26,26,0
N27,27,0
N28,28,0
N29,29,0
N30,30,0
N31,31,0
N32,32,0
N33,33,0
N34,34,0
N35,35,0
N36,36,0
N37,37,0
N38,38,0
N39,39,0
N40,40,0
N41,41,0
N42,42,0
N43,43,0
N44,44,0
N45,45,0
N46,46,0
N47,47,0
N48,0,1
N49,1,1
N50,2,1
N51,3,1
N52,4,1
N53,5,1
N54,6,1
N55,7,1
N56,8,1
N57,9,1
N58,10,1
N59,11,1
N60,12,1
N61,13,1
N62,14,1
N63,15,1
N64,16,1
N65,17,1
N66,18,1
N67,19,1
N68,20,1
N69,21,1
N70,22,1
N71,23,1
N72,24,1
N73,25,1
N74,26,1
N75,27,1
N76,28,1
N77,29,1
N78,30,1
N79,31,1
N80,32,1
N81,33,1
N82,34,1
N83,35,1
N84,36,1
N85,37,1
N86,38,1
N87,39,1
N88,40,1
N89,41,1
N90,42,1
N91,43,1
N92,44,1
N93,45,1
N94,46,1
N95,47,1
N96,0,2
N97,1,2
N98,2,2
N99,3,2
N100,4,2
N101,5,2
N102,6,2
N103,7,2
N104,8,2
N105,9,2
N106,10,2
N107,11,2
N108,12,2
N109,13,2
N110,14,2
N111,15,2
N112,16,2
N113,17,2
N114,18,2
N115,19,2
N116,20,2
N117,21,2
N118,22,2
N119,23,2
N120,24,2
N121,25,2
N122,26,2
N123,27,2
N124,28,2
N125,29,2
N126,30,2
N127,31,2
N128,32,2
N129,33,2
N130,34,2
N131,35,2
N132,36,2
N133,37,2
N134,38,2
N135,39,2
N136,40,2
N137,41,2
N138,42,2
N139,43,2
N140,44,2
N141,45,2
N142,46,2
N143,47,2
N144,0,3
N145,1,3
N146,2,3
N147,3,3
N148,4,3
N149,5,3
N150,6,3
N151,7,3
N152,8,3
N153,9,3
N154,10,3
N155,11,3
N156,12,3
N157,13,3
N158,14,3
N159,15,3
N160,16,3
N161,17,3
N162,18,3
N163,19,3
N164,20,3
N165,21,3
N166,22,3
N167,23,3
N168,24,3
N169,25,3
N170,26,3
N171,27,3
N172,28,3
N173,29,3
N174,30,3
N175,31,3
N176,32,3
N177,33,3
N178,34,3
N179,35,3
N180,36,3
N181,37,3
N182,38,3
N183,39,3
N184,40,3
N185,41,3
N186,42,3
N187,43,3
N188,44,3
N189,45,3
N190,46,3
N191,47,3
N192,0,4
N193,1,4
N194,2,4
N195,3,4
N196,4,4
N197,5,4
N198,6,4
N199,7,4
N200,8,4
N201,9,4
N202,10,4
N203,11,4
N204,12,4
N205,13,4
N206,14,4
N207,15,4
N208,16,4
N209,17,4
N210,18,4
N211,19,4
N212,20,4
N213,21,4
N214,22,4
N215,23,4
N216,24,4
N217,25,4
N218,26,4
N219,27,4
N220,28,4
N221,29,4
N222,30,4
N223,31,4
N224,32,4
N225,33,4
N226,34,4
N227,35,4
N228,36,4
N229,37,4
N230,38,4
N231,39,4
N232,40,4
N233,41,4
N234,42,4
N235,43,4
N236,44,4
N237,45,4
N238,46,4
N239,47,4
N240,0,5
N241,1,5
N242,2,5
N243,3,5
N244,4,5
N245,5,5
N246,6,5
N247,7,5
N248,8,5
N249,9,5
N250,10,5
N251,11,5
N252,12,5
N253,13,5
N254,14,5
N255,15,5
N256,16,5
N257,17,5
N258,18,5
N259,19,5
N260,20,5
N261,21,5
N262,22,5
N263,23,5
N264,24,5
N265,25,5
N266,26,5
N267,27,5
N268,28,5
N269,29,5
N270,30,5
N271,31,5
N272,32,5
N273,33,5
N274,34,5
N275,35,5
N276,36,5
N277,37,5
N278,38,5
N279,39,5
N280,40,5
N281,41,5
N282,42,5
N283,43,5
N284,44,5
N285,45,5
N286,46,5
N287,47,5
N288,0,6
N289,1,6
N290,2,6
N291,3,6
N292,4,6
N293,5,6
N294,6,6
N295,7,6
N296,8,6
N297,9,6
N298,10,6
N299,11,6
N300,12,6
N301,13,6
N302,14,6
N303,15,6
N304,16,6
N305,17,6
N306,18,6
N307,19,6
N308,20,6
N309,21,6
N310,22,6
N311,23,6
N312,24,6
N313,25,6
N314,26,6
N315,27,6
N316,28,6
N317,29,6
N318,30,6
N319,31,6
N320,32,6
N321,33,6
N322,34,6
N323,35,6
N324,36,6
N325,37,6
N326,38,6
N327,39,6
N328,40,6
N329,41,6
N330,42,6
N331,43,6
N332,44,6
N333,45,6
N334,46,6
N335,47,6
N336,0,7
N337,1,7
N338,2,7
N339,3,7
N340,4,7
N341,5,7
N342,6,7
N343,7,7
N344,8,7
N345,9,7
N346,10,7
N347,11,7
N348,12,7
N349,13,7
N350,14,7
N351,15,7
N352,16,7
N353,17,7
N354,18,7
N355,19,7
N356,20,7
N357,21,7
N358,22,7
N359,23,7
N360,24,7
N361,25,7
N362,26,7
N363,27,7
N364,28,7
N365,29,7
N366,30,7
N367,31,7
N368,32,7
N369,33,7
N370,34,7
N371,35,7
N372,36,7
N373,37,7
N374,38,7
N375,39,7
N376,40,7
N377,41,7
N378,42,7
N379,43,7
N380,44,7
N381,45,7
N382,46,7
N383,47,7
N384,0,8
N385,1,8
N386,2,8
N387,3,8
N388,4,8
N389,5,8
N390,6,8
N391,7,8
N392,8,8
N393,9,8
N394,10,8
N395,11,8
N396,12,8
N397,13,8
N398,14,8
N399,15,8
N400,16,8
N401,17,8
N402,18,8
N403,19,8
N404,20,8
N405,21,8
N406,22,8
N407,23,8
N408,24,8
N409,25,8
N410,26,8
N411,27,8
N412,28,8
N413,29,8
N414,30,8
N415,31,8
N416,32,8
N417,33,8
N418,34,8
